title,company,location,job_desc,date_posted,date_scrapped,salary,website,word_desc
"newAssistant Director, Data Science",Amazon.com Services LLC,+126 locationsRemote,"This role requires creative problem solving and the application of data science techniques to challenging problems, particularly focused on isolating causal…",23 days ago,2022-05-19,1508400.0000000002,indeed,role require creative problem solving application data technique challenge problem particularly focus isolate causal…
Data Analyst,Amazon.com Services LLC,+126 locationsRemote,"Distill that data to concise insights and communicate the findings to Product, Engineering, Design, Marketing, and Community to help them tell a data-driven…",23 days ago,2022-05-19,1508400.0000000002,indeed,distill data concise insight communicate finding product engineering design marketing community help tell data driven…
"newSenior Data Analyst, Financial Crimes Technology",Amazon.com Services LLC,+126 locationsRemote,"Work with non-technical partners and product teams to understand their needs, translate business requirements into applicable data requirements, and come up…",23 days ago,2022-05-19,1508400.0000000002,indeed,work non technical partner product team understand need translate business requirement applicable data requirement come up…
newFAST Data Science Associate,Amazon.com Services LLC,+126 locationsRemote,"Unifying data and analytics talent across Chase, the team encompasses a variety of Data & Analytics disciplines, from data governance and data strategy…",23 days ago,2022-05-19,1508400.0000000002,indeed,unify data analytics talent across chase team encompass variety data analytics discipline data governance data strategy…
Data Science Co-Op- Fall 2022,PUMA,"Somerville, MA","Write software to enable data analysis and ensure data quality.As a data science co-op in the R&D business, you will have the opportunity to:",30 days ago,2022-05-19,1460466.0,indeed,write software enable data analysis ensure data qualityas data co op rd business opportunity
newData Engineer,PUMA,"Somerville, MA",Proactive data pipeline monitoring to ensure data quality.Translate complex data into actionable insights and business recommendations.Check out our I+D page.,30 days ago,2022-05-19,1460466.0,indeed,proactive data pipeline monitoring ensure data qualitytranslate complex data actionable insight business recommendationscheck id page
Data Scientist,Park University Adjuncts,Remote,"Perform hands-on data manipulation, data transformation, feature engineering, hypothesis testing and modeling.Who we’re looking for:Added Bonus if you have:",1 day ago,2022-05-19,1460466.0,indeed,perform hand data manipulation data transformation feature engineering hypothesis testing modelingwho ’ look foradded bonus
Junior Data Scientist - Rockefeller Neuroscience Institute,Park University Adjuncts,Remote,Support the development of custom data models and algorithm on large data sets.This position will assist the data science team to carry out research and…,1 day ago,2022-05-19,1460466.0,indeed,support development custom data model algorithm large data setsthis position assist data team carry research …
"CO-OP, DATA SCIENCE",PUMA,"Somerville, MA","INTERNS CO-OP, DATA SCIENCE Somerville, Massachusetts, United States of America SPEED & SPIRIT is what we look for in our candidates, defined by some…",30 days ago,2022-05-19,1460466.0,indeed,intern co op data somerville massachusetts united state america speed spirit look candidate define some…
Data Scientist 1,PUMA,"Somerville, MA","Overview: The Coastal Sciences Division is based across different Pacific Northwest National Laboratory's sites, including Seattle, Portland, Richland and…",30 days ago,2022-05-19,1460466.0,indeed,overview coastal division base across different pacific northwest national laboratory site include seattle portland richland …
Data Science Associate (Remote),PUMA,"Somerville, MA","pulseData is changing the way healthcare data is utilized within major healthcare sectors. As a series A health-tech startup, we provide the insights…",30 days ago,2022-05-19,1460466.0,indeed,pulsedata change way healthcare data utilized within major healthcare sector series health tech startup provide insights…
"Front End Engineer, MADS- Measurement and Data Science",PUMA,"Somerville, MA","· Professional non-internship experience with front end, web or mobile software development using JavaScript, HTML and CSS Job summary Front End Engineer-…",30 days ago,2022-05-19,1460466.0,indeed,· professional non internship experience front end web mobile software development use javascript html css job summary front end engineer …
Seasonal Assistant - Data Analyst,PUMA,"Somerville, MA","Cavaliers Holdings LLC is committed to delivering unparalleled sports and entertainment experiences fueled by a diverse, equitable, and inclusive culture. We…",30 days ago,2022-05-19,1460466.0,indeed,cavalier holding llc commit deliver unparalleled sport entertainment experience fuel diverse equitable inclusive culture …
newCS304 Introduction to Data Science,PUMA,"Somerville, MA",Appointments are made on a term-by-term basis. Adjunct faculty are required to successfully complete an online Canvas LMS orientation course before being…,30 days ago,2022-05-19,1460466.0,indeed,appointment make term term basis adjunct faculty require successfully complete online canvas lm orientation course being…
Data Science Co-Op- Fall 2022,PUMA,"Somerville, MA","At Johnson & Johnson, we use technology and the power of teamwork to discover new ways to prevent and overcome the world’s the most significant healthcare…",30 days ago,2022-05-19,1460466.0,indeed,johnson johnson use technology power teamwork discover new way prevent overcome world ’ significant healthcare…
Data Science Writer,PUMA,"Somerville, MA","At Jobscan, we’re passionate about empowering job seekers to land more interviews with AI technology. We have helped over 2 million job seekers get more…",30 days ago,2022-05-19,1460466.0,indeed,jobscan ’ passionate empower job seeker land interview ai technology help 2 million job seeker get more…
"newAssociate, Data Science (Remote)",PUMA,"Somerville, MA","Alternate Locations: Work from Home Work Arrangement: Work from Home Relocation assistance:: is not available for this opportunity. Pay Range: $65,900 - $83…",30 days ago,2022-05-19,1460466.0,indeed,alternate location work home work arrangement work home relocation assistance available opportunity pay range 65900 83…
Data Mentor (Part-time),PUMA,"Somerville, MA",What is Pathrise? Pathrise (YC W18) connects job seekers across North America to world class industry mentorship and career coaching to help them land a new…,30 days ago,2022-05-19,1460466.0,indeed,pathrise pathrise yc w18 connects job seeker across north america world class industry mentorship career coaching help land new…
newData Science Specialist,PUMA,"Somerville, MA",Posting Details Position Number: 127290 Functional Category Status: 33-Exempt Regular Applicant Search Category: Staff University Authorized FTE: 100 Unit:…,30 days ago,2022-05-19,1460466.0,indeed,post detail position number 127290 functional category status 33 exempt regular applicant search category staff university authorize fte 100 unit…
newData Engineer,PUMA,"Somerville, MA","Company Description Since we first opened our doors in 2009, the world of commerce has evolved immensely – and so has Square. After enabling anyone to take a…",30 days ago,2022-05-19,1460466.0,indeed,company description since first open door 2009 world commerce evolve immensely – square enable anyone take …
Data Science Analyst - 100% Remote,PUMA,"Somerville, MA","See yourself at Radian? We see you here too. At Radian, we see you. For the person you are and the potential you hold. That’s why we’ve embraced a new way of…",30 days ago,2022-05-19,1460466.0,indeed,see radian see radian see person potential hold ’ ’ embrace new way of…
"Associate, Data Science",PUMA,"Somerville, MA","Title: Associate, Data Science Location: Cincinnati, Ohio Reports to: Director ENGINE is a media and marketing services company that exists to futureproof…",30 days ago,2022-05-19,1460466.0,indeed,title associate data location cincinnati ohio report director engine medium marketing service company exist futureproof…
Data Scientists,Amazon.com Services LLC,+126 locationsRemote,We are always looking for Data Scientists who want to work on challenging and interesting projects in a variety of industries.,23 days ago,2022-05-19,1508400.0000000002,indeed,always look data scientist want work challenge interesting project variety industry
Junior Data Labeler,Amazon.com Services LLC,+126 locationsRemote,Label machine learning data from customers.Experience with using technology and inputting data.The GPS Analytics and Cognitive (A&C) offering is responsible…,23 days ago,2022-05-19,1508400.0000000002,indeed,label machine learn data customersexperience use technology inputting datathe gps analytics cognitive ac offering responsible…
Research Engineer – Data Science,Amazon.com Services LLC,+126 locationsRemote,"Scientifically analyze data provided from tests and experiments to gather knowledge and understanding of the subject of research.Honda Dev. and Mfg of Am.,LLC.",23 days ago,2022-05-19,1508400.0000000002,indeed,scientifically analyze data provide test experiment gather knowledge understanding subject researchhonda dev mfg amllc
newPredictive Maintenance Data Scientist,Amazon.com Services LLC,+126 locationsRemote,"Perform exploratory and targeted data analysis using commercial and open source data analytic software packages.Location: Corning, NY, US, 14831.",23 days ago,2022-05-19,1508400.0000000002,indeed,perform exploratory target data analysis use commercial open source data analytic software packageslocation corn ny u 14831
Data Analyst,Amazon.com Services LLC,+126 locationsRemote,"You have worked as a data analyst intern or have related industry experience.Distill that data to concise insights and communicate the findings to Product,…",23 days ago,2022-05-19,1508400.0000000002,indeed,work data analyst intern relate industry experiencedistill data concise insight communicate finding product…
Seasonal Assistant - Data Analyst,Amazon.com Services LLC,+126 locationsRemote,"Create new automation solutions for business data needs.The position will assist data-driven initiatives which primarily support Ticketing, Corporate…",23 days ago,2022-05-19,1508400.0000000002,indeed,create new automation solution business data needsthe position assist data drive initiative primarily support ticket corporate…
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location",The Data Scientist will be a technology leader that will bring our Data Science practices to the next level using a hands-on approach and a passion for deriving…,1 day ago,2022-05-19,1370160.0,indeed,data scientist technology leader bring data practice next level use hand approach passion deriving…
Data Scientist (Remote),Toyota,"Remote in Plano, TX 75023+1 location","Communicate key insights from analyses, experiments and data products to stakeholders.Prior industry experience building online experimentation and machine…",1 day ago,2022-05-19,1370160.0,indeed,communicate key insight analysis experiment data product stakeholdersprior industry experience build online experimentation machine…
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location","Performs duties related to data mining, machine learning, statistical modeling, and analytics to build algorithms that will result in massive improvements to…",1 day ago,2022-05-19,1370160.0,indeed,performs duty relate data mining machine learn statistical modeling analytics build algorithm result massive improvement to…
Data Scientist 1,Toyota,"Remote in Plano, TX 75023+1 location","Practical knowledge in different machine learning approaches including physics-informed machine learning and various deep learning architectures (e.g., MLP, CNN…",1 day ago,2022-05-19,1370160.0,indeed,practical knowledge different machine learning approach include physic informed machine learning various deep learning architecture eg mlp cnn…
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location","Practical experience and strong understanding of techniques in machine learning (feature engineering, supervised & unsupervised learning, optimization…",1 day ago,2022-05-19,1370160.0,indeed,practical experience strong understanding technique machine learning feature engineering supervise unsupervised learning optimization…
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location","Design, validate, and visualize data-driven models, including machine learning approaches, to understand social and behavioral phenomena in support of AIR’s…",1 day ago,2022-05-19,1370160.0,indeed,design validate visualize data driven model include machine learning approach understand social behavioral phenomenon support air ’ …
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location","As a Data Scientist, you will be responsible for collaborating with business stakeholders, Data Scientists, and Data Engineers and solving business problems by…",1 day ago,2022-05-19,1370160.0,indeed,data scientist responsible collaborate business stakeholder data scientist data engineer solve business problem …
Data Scientist- Remote,Toyota,"Remote in Plano, TX 75023+1 location","Analytics: Use analytical applications like R, Python, Alteryx, ArcGIS to identify trends and relationships between different pieces of data, draw appropriate…",1 day ago,2022-05-19,1370160.0,indeed,analytics use analytical application like r python alteryx arcgis identify trend relationship different piece data draw appropriate…
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location","At Amplify, data scientists work as embedded members of cross-functional teams with learning scientists, psychometricians, product owners, engineers, and others…",1 day ago,2022-05-19,1370160.0,indeed,amplify data scientist work embedded member cross functional team learn scientist psychometricians product owner engineer others…
newAssociate Data Scientist (Remote),Toyota,"Remote in Plano, TX 75023+1 location",This role works closely with Data Scientists and/or Sr. Data Scientists in their team to develop solutions by applying advanced analytics methods and algorithms…,1 day ago,2022-05-19,1370160.0,indeed,role work closely data scientist sr data scientist team develop solution apply advanced analytics method algorithms…
Data Scientist II - Algorithmic Justice Specialist,Toyota,"Remote in Plano, TX 75023+1 location",Submit FOIA requests to obtain data and models from jurisdictions using predictive analytics for further analysis.,1 day ago,2022-05-19,1370160.0,indeed,submit foia request obtain data model jurisdiction use predictive analytics analysis
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location",Experience with automatic machine learning (AutoML) and machine learning explainability/interpretability methods.,1 day ago,2022-05-19,1370160.0,indeed,experience automatic machine learn automl machine learning explainability interpretability method
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location","It will also will work closely with data engineers, data analysts, and other data scientists in the team to integrate results into operational platforms.",1 day ago,2022-05-19,1370160.0,indeed,also work closely data engineer data analyst data scientist team integrate result operational platform
Data Scientist (Remote),Toyota,"Remote in Plano, TX 75023+1 location","Create statistically sound data sets, analysis methods, and scientific reports, assess quality of data analysis programs, and develop automated analysis tools…",1 day ago,2022-05-19,1370160.0,indeed,create statistically sound data set analysis method scientific report ass quality data analysis program develop automate analysis tools…
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location","Discover actionable insights from data sources and develop novel algorithms and models through the use of statistical, machine learning or deep learning…",1 day ago,2022-05-19,1370160.0,indeed,discover actionable insight data source develop novel algorithm model use statistical machine learning deep learning…
Data Scientist- Remote,Ford Motor Company,"Remote in Dearborn, MI+1 location","Analytics: Use analytical applications like R, Python, Alteryx, ArcGIS to identify trends and relationships between different pieces of data, draw appropriate…",Today,2022-05-19,1370160.0,indeed,analytics use analytical application like r python alteryx arcgis identify trend relationship different piece data draw appropriate…
Data Scientist (Remote),Ford Motor Company,"Remote in Dearborn, MI+1 location","Communicate key insights from analyses, experiments and data products to stakeholders.Prior industry experience building online experimentation and machine…",Today,2022-05-19,1370160.0,indeed,communicate key insight analysis experiment data product stakeholdersprior industry experience build online experimentation machine…
newAssociate Data Scientist,Ford Motor Company,"Remote in Dearborn, MI+1 location","Experience with machine learning, statistics, and the scientific method.Collaborate with data engineers and software engineers to integrate research-driven…",Today,2022-05-19,1370160.0,indeed,experience machine learn statistic scientific methodcollaborate data engineer software engineer integrate research driven…
Data Scientist,Ford Motor Company,"Remote in Dearborn, MI+1 location","It will also will work closely with data engineers, data analysts, and other data scientists in the team to integrate results into operational platforms.",Today,2022-05-19,1370160.0,indeed,also work closely data engineer data analyst data scientist team integrate result operational platform
Data Scientist (Junior),Ford Motor Company,"Remote in Dearborn, MI+1 location","For example, combining public weather data with proprietary sales data to identify trends and build forecasts, or using ML/AI tools to parse large datasets and…",Today,2022-05-19,1370160.0,indeed,example combine public weather data proprietary sale data identify trend build forecast use ml ai tool parse large datasets …
Data Scientist,Ford Motor Company,"Remote in Dearborn, MI+1 location","Practical experience and strong understanding of techniques in machine learning (feature engineering, supervised & unsupervised learning, optimization…",Today,2022-05-19,1370160.0,indeed,practical experience strong understanding technique machine learning feature engineering supervise unsupervised learning optimization…
"Data Scientist, Spotify Advertising",Ford Motor Company,"Remote in Dearborn, MI+1 location","You have the technical competence to perform more advanced analytics:Coding skills for analytics and data extraction (SQL, Python, Pandas) Data visualization …",Today,2022-05-19,1370160.0,indeed,technical competence perform advanced analyticscoding skill analytics data extraction sql python panda data visualization …
Data Scientist,Ford Motor Company,"Remote in Dearborn, MI+1 location","As a Data Scientist, you will be responsible for collaborating with business stakeholders, Data Scientists, and Data Engineers and solving business problems by…",Today,2022-05-19,1370160.0,indeed,data scientist responsible collaborate business stakeholder data scientist data engineer solve business problem …
newAssociate Data Scientist (Remote),Ford Motor Company,"Remote in Dearborn, MI+1 location",This role works closely with Data Scientists and/or Sr. Data Scientists in their team to develop solutions by applying advanced analytics methods and algorithms…,Today,2022-05-19,1370160.0,indeed,role work closely data scientist sr data scientist team develop solution apply advanced analytics method algorithms…
Data Scientist,Ford Motor Company,"Remote in Dearborn, MI+1 location","Performs duties related to data mining, machine learning, statistical modeling, and analytics to build algorithms that will result in massive improvements to…",Today,2022-05-19,1370160.0,indeed,performs duty relate data mining machine learn statistical modeling analytics build algorithm result massive improvement to…
new(Junior / Senior) Data Scientist - Sports Analytics,Ford Motor Company,"Remote in Dearborn, MI+1 location",Provide guidance and technical mentorship for junior data scientists.Desire and ability to successfully mentor junior data scientists.,Today,2022-05-19,1370160.0,indeed,provide guidance technical mentorship junior data scientistsdesire ability successfully mentor junior data scientist
Data Scientist,Ford Motor Company,"Remote in Dearborn, MI+1 location",Experience with automatic machine learning (AutoML) and machine learning explainability/interpretability methods.,Today,2022-05-19,1370160.0,indeed,experience automatic machine learn automl machine learning explainability interpretability method
Data Scientist 2,Ford Motor Company,"Remote in Dearborn, MI+1 location",We’re looking for a self-motivated Data Scientist who can independently analyze data and produce quality presentations based on the resulting predictive systems…,Today,2022-05-19,1370160.0,indeed,’ look self motivate data scientist independently analyze data produce quality presentation base result predictive systems…
Data Scientist,Ford Motor Company,"Remote in Dearborn, MI+1 location","Design, validate, and visualize data-driven models, including machine learning approaches, to understand social and behavioral phenomena in support of AIR’s…",Today,2022-05-19,1370160.0,indeed,design validate visualize data driven model include machine learning approach understand social behavioral phenomenon support air ’ …
Data Scientist,Ford Motor Company,"Remote in Dearborn, MI+1 location",The Data Scientist will be a technology leader that will bring our Data Science practices to the next level using a hands-on approach and a passion for deriving…,Today,2022-05-19,1370160.0,indeed,data scientist technology leader bring data practice next level use hand approach passion deriving…
"Data Scientist II, Workforce Staffing Market Intelligence",Amazon.com Services LLC,+14 locationsRemote,"You will collaborate closely as part of a blended science-based product team blending research, engineering, visual analytics, and product and program…",30 days ago,2022-05-19,119300.0,indeed,collaborate closely part blend base product team blend research engineering visual analytics product program…
Data Scientist (Remote),Amazon.com Services LLC,+14 locationsRemote,"Communicate key insights from analyses, experiments and data products to stakeholders.Prior industry experience building online experimentation and machine…",30 days ago,2022-05-19,119300.0,indeed,communicate key insight analysis experiment data product stakeholdersprior industry experience build online experimentation machine…
Graduate Data Scientist - Role Can be Remote,Amazon.com Services LLC,+14 locationsRemote,Build understanding of the Mars Petcare data ecosystem and analytics platforms.Develop and gather project insights.Code peer review and QA notebooks.,30 days ago,2022-05-19,119300.0,indeed,build understanding mar petcare data ecosystem analytics platformsdevelop gather project insightscode peer review qa notebook
new(Junior / Senior) Data Scientist - Sports Analytics,Amazon.com Services LLC,+14 locationsRemote,Provide guidance and technical mentorship for junior data scientists.Desire and ability to successfully mentor junior data scientists.,30 days ago,2022-05-19,119300.0,indeed,provide guidance technical mentorship junior data scientistsdesire ability successfully mentor junior data scientist
Data Scientist- Remote,Amazon.com Services LLC,+14 locationsRemote,"Analytics: Use analytical applications like R, Python, Alteryx, ArcGIS to identify trends and relationships between different pieces of data, draw appropriate…",30 days ago,2022-05-19,119300.0,indeed,analytics use analytical application like r python alteryx arcgis identify trend relationship different piece data draw appropriate…
Data Scientist (Junior),Amazon.com Services LLC,+14 locationsRemote,"For example, combining public weather data with proprietary sales data to identify trends and build forecasts, or using ML/AI tools to parse large datasets and…",30 days ago,2022-05-19,119300.0,indeed,example combine public weather data proprietary sale data identify trend build forecast use ml ai tool parse large datasets …
Data Scientist,Amazon.com Services LLC,+14 locationsRemote,1-3+ years of professional experience with applying quantitative research in optimizing human decisions using technologies like machine learning and/or deep…,30 days ago,2022-05-19,119300.0,indeed,1 3 year professional experience apply quantitative research optimize human decision use technology like machine learning deep…
Data Scientist,Amazon.com Services LLC,+14 locationsRemote,"Design, validate, and visualize data-driven models, including machine learning approaches, to understand social and behavioral phenomena in support of AIR’s…",30 days ago,2022-05-19,119300.0,indeed,design validate visualize data driven model include machine learning approach understand social behavioral phenomenon support air ’ …
Data Scientist,Amazon.com Services LLC,+14 locationsRemote,The Data Scientist will be a technology leader that will bring our Data Science practices to the next level using a hands-on approach and a passion for deriving…,30 days ago,2022-05-19,119300.0,indeed,data scientist technology leader bring data practice next level use hand approach passion deriving…
newAssociate Data Scientist,Amazon.com Services LLC,+14 locationsRemote,"Experience with machine learning, statistics, and the scientific method.Collaborate with data engineers and software engineers to integrate research-driven…",30 days ago,2022-05-19,119300.0,indeed,experience machine learn statistic scientific methodcollaborate data engineer software engineer integrate research driven…
newSr. Data Scientist- Evergreen,Amazon.com Services LLC,+14 locationsRemote,"Advanced use of current and emerging technologies to evaluate trends and develop actionable insights and recommendations to management, via understanding of the…",30 days ago,2022-05-19,119300.0,indeed,advanced use current emerge technology evaluate trend develop actionable insight recommendation management via understanding …
newAssociate Data Scientist (Remote),Amazon.com Services LLC,+14 locationsRemote,This role works closely with Data Scientists and/or Sr. Data Scientists in their team to develop solutions by applying advanced analytics methods and algorithms…,30 days ago,2022-05-19,119300.0,indeed,role work closely data scientist sr data scientist team develop solution apply advanced analytics method algorithms…
Data Scientist 2,Amazon.com Services LLC,+14 locationsRemote,We’re looking for a self-motivated Data Scientist who can independently analyze data and produce quality presentations based on the resulting predictive systems…,30 days ago,2022-05-19,119300.0,indeed,’ look self motivate data scientist independently analyze data produce quality presentation base result predictive systems…
data scientist (multiple openings) - Remote,Amazon.com Services LLC,+14 locationsRemote,"Experience building complex data sets from multiple data sources, both internally and externally.Leverage predictive and inferential advanced statistical and…",30 days ago,2022-05-19,119300.0,indeed,experience building complex data set multiple data source internally externallyleverage predictive inferential advanced statistical …
Data Scientist 1,Amazon.com Services LLC,+14 locationsRemote,"Practical knowledge in different machine learning approaches including physics-informed machine learning and various deep learning architectures (e.g., MLP, CNN…",30 days ago,2022-05-19,119300.0,indeed,practical knowledge different machine learning approach include physic informed machine learning various deep learning architecture eg mlp cnn…
Data Scientist- Merchandising Analytics - Remote,Toyota,"Remote in Plano, TX 75023+1 location",Dive deep into complex business problems and provide insights on merch activities.1+ years applying business logic to extract and cleanse large datasets from…,1 day ago,2022-05-19,1370160.0,indeed,dive deep complex business problem provide insight merch activities1 year apply business logic extract cleanse large datasets from…
Data Scientist- Remote,Ford Motor Company,"Remote in Dearborn, MI","Analytics: Use analytical applications like R, Python, Alteryx, ArcGIS to identify trends and relationships between different pieces of data, draw appropriate…",Today,2022-05-19,1370160.0,indeed,analytics use analytical application like r python alteryx arcgis identify trend relationship different piece data draw appropriate…
Data Scientist (Remote),Ford Motor Company,"Remote in Dearborn, MI","Communicate key insights from analyses, experiments and data products to stakeholders.Prior industry experience building online experimentation and machine…",Today,2022-05-19,1370160.0,indeed,communicate key insight analysis experiment data product stakeholdersprior industry experience build online experimentation machine…
newAssociate Data Scientist,Ford Motor Company,"Remote in Dearborn, MI","Experience with machine learning, statistics, and the scientific method.Collaborate with data engineers and software engineers to integrate research-driven…",Today,2022-05-19,1370160.0,indeed,experience machine learn statistic scientific methodcollaborate data engineer software engineer integrate research driven…
Data Scientist,Ford Motor Company,"Remote in Dearborn, MI","It will also will work closely with data engineers, data analysts, and other data scientists in the team to integrate results into operational platforms.",Today,2022-05-19,1370160.0,indeed,also work closely data engineer data analyst data scientist team integrate result operational platform
Data Scientist (Junior),Ford Motor Company,"Remote in Dearborn, MI","For example, combining public weather data with proprietary sales data to identify trends and build forecasts, or using ML/AI tools to parse large datasets and…",Today,2022-05-19,1370160.0,indeed,example combine public weather data proprietary sale data identify trend build forecast use ml ai tool parse large datasets …
Data Scientist,Ford Motor Company,"Remote in Dearborn, MI","Practical experience and strong understanding of techniques in machine learning (feature engineering, supervised & unsupervised learning, optimization…",Today,2022-05-19,1370160.0,indeed,practical experience strong understanding technique machine learning feature engineering supervise unsupervised learning optimization…
"Data Scientist, Spotify Advertising",Ford Motor Company,"Remote in Dearborn, MI","You have the technical competence to perform more advanced analytics:Coding skills for analytics and data extraction (SQL, Python, Pandas) Data visualization …",Today,2022-05-19,1370160.0,indeed,technical competence perform advanced analyticscoding skill analytics data extraction sql python panda data visualization …
Data Scientist,Ford Motor Company,"Remote in Dearborn, MI","As a Data Scientist, you will be responsible for collaborating with business stakeholders, Data Scientists, and Data Engineers and solving business problems by…",Today,2022-05-19,1370160.0,indeed,data scientist responsible collaborate business stakeholder data scientist data engineer solve business problem …
newAssociate Data Scientist (Remote),Ford Motor Company,"Remote in Dearborn, MI",This role works closely with Data Scientists and/or Sr. Data Scientists in their team to develop solutions by applying advanced analytics methods and algorithms…,Today,2022-05-19,1370160.0,indeed,role work closely data scientist sr data scientist team develop solution apply advanced analytics method algorithms…
Data Scientist,Ford Motor Company,"Remote in Dearborn, MI","Performs duties related to data mining, machine learning, statistical modeling, and analytics to build algorithms that will result in massive improvements to…",Today,2022-05-19,1370160.0,indeed,performs duty relate data mining machine learn statistical modeling analytics build algorithm result massive improvement to…
new(Junior / Senior) Data Scientist - Sports Analytics,Ford Motor Company,"Remote in Dearborn, MI",Provide guidance and technical mentorship for junior data scientists.Desire and ability to successfully mentor junior data scientists.,Today,2022-05-19,1370160.0,indeed,provide guidance technical mentorship junior data scientistsdesire ability successfully mentor junior data scientist
Data Scientist,Ford Motor Company,"Remote in Dearborn, MI",Experience with automatic machine learning (AutoML) and machine learning explainability/interpretability methods.,Today,2022-05-19,1370160.0,indeed,experience automatic machine learn automl machine learning explainability interpretability method
Data Scientist 2,Ford Motor Company,"Remote in Dearborn, MI",We’re looking for a self-motivated Data Scientist who can independently analyze data and produce quality presentations based on the resulting predictive systems…,Today,2022-05-19,1370160.0,indeed,’ look self motivate data scientist independently analyze data produce quality presentation base result predictive systems…
Geospatial Data Scientist - Remote,Ford Motor Company,"Remote in Dearborn, MI","Experience with methods and tasks to strengthen application of data, analytics, and processes for business opportunity evaluation.",Today,2022-05-19,1370160.0,indeed,experience method task strengthen application data analytics process business opportunity evaluation
Data Scientist,Ford Motor Company,"Remote in Dearborn, MI","Design, validate, and visualize data-driven models, including machine learning approaches, to understand social and behavioral phenomena in support of AIR’s…",Today,2022-05-19,1370160.0,indeed,design validate visualize data driven model include machine learning approach understand social behavioral phenomenon support air ’ …
Data Scientist (Remote),Toyota,"Remote in Plano, TX 75023+1 location","We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local…",1 day ago,2022-05-19,1370160.0,indeed,adept task like model user preference inference user marketplace experiment generate insight health local…
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location",Are you passionate about uncovering meaningful patterns in data that leads to executable insights and recommendations?Are you curious by nature?,1 day ago,2022-05-19,1370160.0,indeed,passionate uncover meaningful pattern data lead executable insight recommendationsare curious nature
Data Scientist II - Algorithmic Justice Specialist,Toyota,"Remote in Plano, TX 75023+1 location","This salary will be subject to a locality adjustment (according to a specific city and state), if an authorization is granted to work outside of the location…",1 day ago,2022-05-19,1370160.0,indeed,salary subject locality adjustment accord specific city state authorization grant work outside location…
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location",Experience with automatic machine learning (AutoML) and machine learning explainability/interpretability methods.Travel Required: Less than 10%.,1 day ago,2022-05-19,1370160.0,indeed,experience automatic machine learn automl machine learning explainability interpretability methodstravel require less 10
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location",Who we’re looking for: The Data Scientist will be a technology leader that will bring our Data Science practices to the next level using a hands-on approach…,1 day ago,2022-05-19,1370160.0,indeed,’ look data scientist technology leader bring data practice next level use hand approach…
Data Scientist (Remote),Toyota,"Remote in Plano, TX 75023+1 location","At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses…",1 day ago,2022-05-19,1370160.0,indeed,yelp ’ mission connect people great local business yelp ’ unique dataset contains billion interaction user businesses…
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location","*Job Title: *Data Scientist *Job Family: * Risk Department *Summary: * Performs duties related to data mining, machine learning, statistical modeling, and…",1 day ago,2022-05-19,1370160.0,indeed,job title data scientist job family risk department summary performs duty relate data mining machine learn statistical modeling …
Data Scientist 1,Toyota,"Remote in Plano, TX 75023+1 location","Overview: The Coastal Sciences Division is based across different Pacific Northwest National Laboratory's sites, including Seattle, Portland, Richland and…",1 day ago,2022-05-19,1370160.0,indeed,overview coastal division base across different pacific northwest national laboratory site include seattle portland richland …
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location","About this Position Curate, part of FiscalNote, is seeking to hire a full-time Data Scientist. As a Data Scientist, you will be at the core of our advanced…",1 day ago,2022-05-19,1370160.0,indeed,position curate part fiscalnote seek hire full time data scientist data scientist core advanced…
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location",Overview: AIR is currently seeking a Data Scientist join our Data Science and Advanced Analytics (DSAA) group. DSAA employs advanced analytics methods to…,1 day ago,2022-05-19,1370160.0,indeed,overview air currently seek data scientist join data advanced analytics dsaa group dsaa employ advanced analytics method to…
Data Scientist,Toyota,"Remote in Plano, TX 75023+1 location","TITLE Data Scientist LOCATION Working Remote USA REPORTS TO Manager, Data Science POSITION SUMMARY Are you curious by nature? Do you like to dive into…",1 day ago,2022-05-19,1370160.0,indeed,title data scientist location work remote usa report manager data position summary curious nature like dive into…
Data Scientist- Remote,Toyota,"Remote in Plano, TX 75023+1 location","Dearborn Ford Motor Company Ford Pro - Tech Job Description & Qualifications At Ford Motor Company, we believe freedom of movement drives human progress.…",1 day ago,2022-05-19,1370160.0,indeed,dearborn ford motor company ford pro tech job description qualification ford motor company believe freedom movement drive human progress…
